Word,Similarity
september,1.0
november,0.9800077676773071
april,0.9791770577430725
december,0.9230106472969055
august,0.9083161354064941
october,0.9042465686798096
july,0.8875858783721924
june,0.8812415599822998
february,0.8796762228012085
weekend,0.8651796579360962
march,0.8636570572853088
week,0.8630033731460571
january,0.8628088235855103
event,0.8540536761283875
dec,0.8493767976760864
th,0.8449668288230896
opening,0.8417693376541138
feb,0.8323937058448792
sept,0.828173816204071
nov,0.8257284760475159
sunday,0.8194543719291687
month,0.8160388469696045
feb.,0.8155694007873535
year,0.8086450695991516
celebrate,0.8047866225242615
season,0.8041634559631348
open,0.8008625507354736
meeting,0.7957646250724792
countdown,0.7952509522438049
last,0.7950655221939087
deadline,0.7929979562759399
london,0.7921642661094666
special,0.79121333360672
next,0.790016770362854
celebration,0.7873759865760803
ceremony,0.7841441631317139
juni,0.7825036644935608
arrived,0.7821357250213623
holiday,0.781294584274292
today,0.780461311340332
day,0.778911292552948
wed,0.7787502408027649
st,0.7784885168075562
saturday,0.7772955894470215
kick-off,0.7754839062690735
aug,0.7751257419586182
closing,0.7738919854164124
celebrating,0.773520290851593
training,0.7732368111610413
desember,0.7731260061264038
nov.,0.7719929218292236
sept.,0.7702707648277283
anniversary,0.7702005505561829
booked,0.7695561051368713
dec.,0.7691675424575806
weeks,0.768090009689331
stage,0.7676891088485718
underway,0.7664830088615417
begin,0.7657057046890259
pm,0.7656773924827576
project,0.7655174732208252
monday,0.765430748462677
years,0.7643427848815918
februari,0.7641543745994568
coming,0.7641220092773438
planning,0.7632341980934143
gathering,0.7630918622016907
gig,0.7625157237052917
winners,0.7616263031959534
gigs,0.7614395618438721
oct,0.7607855796813965
great,0.759978175163269
forward,0.7596153020858765
competition,0.7584788799285889
januari,0.7580715417861938
exciting,0.7564674615859985
semester,0.7562016248703003
perform,0.7560898661613464
days,0.7556731700897217
soon,0.7555482387542725
launching,0.7549843788146973
fantastic,0.7542925477027893
germany,0.7535752058029175
theater,0.7532097697257996
rest,0.7528530955314636
weeken,0.7525333166122437
comeback,0.7509362697601318
winter,0.7504658699035645
first,0.7503065466880798
enjoyed,0.7502934336662292
evening,0.750210702419281
winner,0.749956488609314
win,0.7498331665992737
conference,0.7493365406990051
luck,0.7485010623931885
tonight,0.7483389973640442
announced,0.7481421828269958
schedule,0.7467390894889832
jan.,0.7465245127677917
maret,0.7446364164352417
thursday,0.7445468902587891
marathon,0.7436671257019043
ahead,0.7435532212257385
wednesday,0.7432994842529297
enjoy,0.7429522275924683
starting,0.7422639727592468
announce,0.7416477799415588
summer,0.7412235140800476
hour,0.7411022186279297
launch,0.7409381866455078
friday,0.7408535480499268
won,0.7400633096694946
end,0.7396709322929382
months,0.7394964098930359
chapter,0.7393926382064819
debut,0.7391254901885986
excited,0.7390366196632385
amazing,0.7389379143714905
tomorrow,0.7383795976638794
yesterday,0.7375580072402954
england,0.7367280721664429
fri,0.7365392446517944
holidays,0.7359712719917297
start,0.7348176836967468
far,0.7347792983055115
spring,0.7347556352615356
concert,0.7346376776695251
best,0.734467625617981
events,0.7343035936355591
program,0.734157383441925
heading,0.7338685393333435
second,0.7331401705741882
city,0.7329744100570679
set,0.7327898740768433
league,0.7326468825340271
venue,0.7322893142700195
tuned,0.7322105169296265
tickets,0.7312445640563965
list,0.731092631816864
night,0.7306658625602722
tour,0.7304085493087769
finally,0.7302277088165283
ends,0.7298240661621094
camp,0.7295055985450745
fair,0.7287524938583374
available,0.7284212708473206
afternoon,0.7276315689086914
spent,0.7270287871360779
japan,0.7263925075531006
later,0.7261546850204468
live,0.7259660363197327
finished,0.7258010506629944
until,0.7257722616195679
celebrations,0.7257671356201172
segment,0.7253356575965881
united,0.7251169085502625
ending,0.7246180176734924
in,0.7241676449775696
sold,0.7240527868270874
cup,0.7239875197410583
award,0.7237346768379211
kst,0.7236103415489197
hours,0.7236027717590332
present,0.7233908176422119
release,0.7233729362487793
thurs,0.7231912612915039
ramadhan,0.7230064272880554
tournament,0.7228192090988159
seminar,0.7223573327064514
wib,0.722068727016449
winning,0.7218748331069946
parade,0.7216923832893372
return,0.7214400172233582
congrats,0.7213329076766968
ready,0.720970630645752
kickoff,0.7209413051605225
highlights,0.7208724617958069
world,0.7205050587654114
goal,0.7198036909103394
after,0.719520628452301
ramadan,0.7193363904953003
games,0.7189542055130005
journey,0.7186958193778992
at,0.7185025215148926
seasons,0.7177758812904358
update,0.717556893825531
half,0.7173423767089844
sat,0.7173082232475281
tuesday,0.7165469527244568
join,0.7160441875457764
match,0.7149521708488464
