Word,Similarity
stiletto,1.0
strappy,0.9420440196990967
wedge,0.9378957748413086
knee-high,0.907612144947052
studded,0.9065694808959961
compression,0.8881393074989319
coupling,0.8860234022140503
polyester,0.8855395317077637
cowhide,0.8845393657684326
oversize,0.8824421763420105
stripe,0.881298303604126
resin,0.8804968595504761
bezel,0.880092442035675
vneck,0.8796256184577942
metallic,0.8790870904922485
aviator,0.8786017894744873
long-sleeved,0.8774705529212952
snakeskin,0.8767451047897339
gold-plated,0.8761734962463379
loafer,0.8739911317825317
nubuck,0.8734051585197449
dri-fit,0.8723180890083313
pullover,0.8723090291023254
pumps,0.8712631464004517
hooded,0.8696609735488892
fitted,0.8690537214279175
hanes,0.8683348894119263
vest,0.8675113320350647
analog,0.8674162030220032
pant,0.867357075214386
patterned,0.867077648639679
conveyor,0.8669767379760742
wool,0.8665264844894409
ceramic,0.8657484650611877
tweed,0.8652153611183167
slingback,0.864066481590271
pleated,0.8640066385269165
straps,0.8636000156402588
rocawear,0.8632630705833435
longsleeve,0.8627081513404846
ribbed,0.8626631498336792
unisex,0.8623539209365845
elastic,0.8622951507568359
windbreaker,0.8620825409889221
leotard,0.8617509603500366
quilted,0.8614701628684998
armour,0.861194372177124
woven,0.861102283000946
herringbone,0.8584927320480347
sleeveless,0.8580194711685181
lacquer,0.8572233319282532
pvc,0.8554482460021973
revlon,0.8553738594055176
moccasin,0.8540262579917908
leather,0.8533564209938049
fedora,0.853063702583313
tablecloth,0.8521072268486023
tassel,0.8517621755599976
lrg,0.8513844609260559
velcro,0.8512027859687805
silk,0.8510931730270386
cashmere,0.8507935404777527
lycra,0.8498987555503845
maybelline,0.8498769998550415
spikes,0.8498286604881287
brass,0.8490562438964844
ecko,0.8473594784736633
stackable,0.8467959761619568
buckle,0.846599817276001
alloy,0.8463655114173889
sleeve,0.8461171984672546
fleece,0.8460532426834106
polarized,0.8456043601036072
bootcut,0.8455444574356079
ghd,0.8453605771064758
overlay,0.8447202444076538
rivet,0.8440513610839844
machined,0.84281325340271
cardi,0.8424927592277527
glossy,0.8411166071891785
houndstooth,0.8410075306892395
embroidered,0.840983510017395
nylon,0.8408047556877136
velour,0.8406182527542114
two-tone,0.8403772711753845
cobalt,0.8403075933456421
collared,0.8399929404258728
duracell,0.8396965861320496
hoody,0.8396619558334351
embellished,0.8395565152168274
plaid,0.8394346237182617
heeled,0.839339017868042
denim,0.8389533162117004
peep-toe,0.8386695384979248
halter,0.8385510444641113
gradient,0.838124692440033
loafers,0.8376431465148926
matte,0.8375632762908936
cinch,0.8374010920524597
jacquard,0.8362486958503723
chronograph,0.8350415825843811
camouflage,0.834909975528717
quartz,0.8348916172981262
levis,0.8342457413673401
patchwork,0.8338843584060669
gauze,0.8337899446487427
climacool,0.8336655497550964
braided,0.8334463238716125
striped,0.8332691192626953
shaver,0.833104133605957
long-sleeve,0.8328548669815063
carhartt,0.8323379755020142
button-up,0.832264244556427
see-through,0.8312343955039978
glove,0.8310008645057678
fringed,0.8309985995292664
washable,0.8308901786804199
high-top,0.8304811120033264
bandanna,0.8304595947265625
aluminum,0.8297683000564575
cotton,0.8295473456382751
trench,0.8294036984443665
belts,0.8293710350990295
visor,0.82915198802948
beret,0.8290788531303406
oxfords,0.8289688229560852
rectangle,0.8286743760108948
ray-ban,0.828586995601654
abrasive,0.8285298347473145
addidas,0.8285253047943115
v-neck,0.8283212184906006
thrasher,0.8281639218330383
eyeglasses,0.828156590461731
laces,0.8279708623886108
clad,0.8276693224906921
checkered,0.8275268077850342
polka,0.8274493217468262
strap,0.8274437189102173
cement,0.8271317481994629
cross-training,0.8269778490066528
speedo,0.8266425728797913
plated,0.8266007304191589
mink,0.8265008926391602
bootie,0.8264243602752686
nudie,0.826354444026947
padded,0.8263257741928101
pigtail,0.8259908556938171
mid-calf,0.8256141543388367
tripod,0.8251027464866638
rugged,0.8250406384468079
thermal,0.824838399887085
belt,0.8245482444763184
pleather,0.8240073323249817
porcelain,0.8239622116088867
t-bar,0.8238542675971985
non-slip,0.8236870169639587
comforter,0.8235599398612976
twill,0.8235191702842712
textured,0.8233014345169067
lace-up,0.8228377103805542
belted,0.82245272397995
shimmery,0.8224108815193176
acrylic,0.8223156929016113
sperry,0.8218129277229309
insoles,0.8209793567657471
tracksuit,0.8207724094390869
seamless,0.8207695484161377
conveyer,0.8198100328445435
solitaire,0.8195585608482361
lace,0.8193371891975403
liner,0.8192647695541382
sandals,0.8191611170768738
t-strap,0.8188033699989319
skort,0.8186669945716858
espadrille,0.8182806372642517
umbro,0.8180567622184753
synthetic,0.8180462121963501
fishnet,0.8179827928543091
wrangler,0.8179750442504883
flared,0.8176532983779907
gingham,0.8174939155578613
corset,0.8174921274185181
embroidery,0.8174587488174438
knit,0.8173676133155823
fuschia,0.8172121644020081
peeptoe,0.8169959783554077
rubber,0.8166999220848083
bandana,0.8161413669586182
see-thru,0.8159453272819519
compact,0.815825879573822
reversible,0.8155772686004639
aftershave,0.8154650330543518
womens,0.8150694966316223
waterproof,0.8143122792243958
pigment,0.8141729831695557
plating,0.8141151070594788
tint,0.8134797811508179
headband,0.8133381605148315
blouse,0.8131589889526367
oral-b,0.8128865361213684
tourmaline,0.8128098845481873
batwing,0.8127562999725342
tunic,0.812711775302887
charcoal,0.8126562237739563
roadster,0.8117557764053345
undershirt,0.8115741610527039
addias,0.8111402988433838
dolman,0.8110758662223816
rolex,0.8108184933662415
razor,0.8106613755226135
beige,0.8106194138526917
duffel,0.8106111288070679
stripes,0.8105745315551758
