Word,Similarity
brown,1.0
jack,0.9194055795669556
rose,0.9107681512832642
lady,0.8968745470046997
white,0.8947139382362366
ray,0.8887479305267334
black,0.8879897594451904
kelly,0.8856780529022217
chuck,0.8814560770988464
stone,0.8797876238822937
's,0.8793020844459534
green,0.8783565163612366
king,0.8761997818946838
grey,0.8757466077804565
miller,0.8747512102127075
gray,0.8715891242027283
jackson,0.8674667477607727
chris,0.8659200668334961
aka,0.8642933368682861
johnny,0.8617445230484009
ross,0.8587747812271118
charlie,0.8571284413337708
tommy,0.8564506769180298
looks,0.8535354137420654
james,0.8523930907249451
red,0.8512102961540222
queen,0.8494404554367065
cooper,0.8488562107086182
michael,0.8484117984771729
look,0.8482710123062134
joe,0.8466113209724426
jay,0.8461125493049622
jean,0.8453989624977112
blue,0.8441830277442932
smith,0.843670666217804
big,0.8435748815536499
nicki,0.8427730202674866
perry,0.8423014879226685
and,0.8419733643531799
minaj,0.8410231471061707
star,0.8391548991203308
mickey,0.8389464020729065
jason,0.8383590579032898
calvin,0.8376320004463196
bear,0.8367123007774353
bob,0.8357735276222229
diamond,0.8351040482521057
jordan,0.8345361351966858
wolf,0.8344067335128784
rick,0.8341498970985413
d.,0.834044873714447
rihanna,0.8333055973052979
jerry,0.832794725894928
boy,0.8324912190437317
lauren,0.8323060870170593
ivy,0.8322153091430664
mike,0.8311131000518799
voice,0.8307114243507385
mary,0.8305447101593018
williams,0.8305109739303589
beyonce,0.8299694061279297
tom,0.8289213180541992
golden,0.8288459181785583
frank,0.8287338018417358
jimmy,0.8276360034942627
purple,0.8271937966346741
keith,0.8270418643951416
tiger,0.8265153765678406
kid,0.8259626030921936
monster,0.8255558013916016
turner,0.8240739107131958
twist,0.8229246139526367
jade,0.8226589560508728
clay,0.8225597739219666
style,0.822437047958374
john,0.822268009185791
parker,0.8220127820968628
johnson,0.8216139674186707
ashley,0.8212728500366211
drew,0.821189820766449
tyler,0.8209012150764465
moss,0.8208025693893433
bobby,0.8203858137130737
like,0.8197653293609619
taylor,0.8197483420372009
lily,0.8180773258209229
yellow,0.8175339102745056
scott,0.8174518346786499
jasmine,0.8172839283943176
dash,0.8172206878662109
donald,0.8170689344406128
lucy,0.8167403340339661
hardy,0.8165802359580994
berry,0.8157919049263
little,0.8154544830322266
george,0.8154525756835938
ralph,0.8153287172317505
rod,0.8153014183044434
bruce,0.8148167729377747
dark,0.8146532773971558
spike,0.8144323229789734
wild,0.8135789632797241
jake,0.8131342530250549
adams,0.8121364116668701
keys,0.8119560480117798
kevin,0.8112831711769104
bow,0.810383677482605
prince,0.810142457485199
rocky,0.8100632429122925
melissa,0.810002863407135
fred,0.8097156286239624
hot,0.8095734715461731
wayne,0.8095681667327881
jeremy,0.809160590171814
rock,0.809036135673523
joey,0.808880090713501
mr.,0.8087879419326782
jr,0.8085331916809082
face,0.8082321882247925
wood,0.8082301020622253
baby,0.8080590963363647
wearing,0.8079410195350647
the,0.8076392412185669
guy,0.8075080513954163
robin,0.8070473074913025
dog,0.8070178627967834
teddy,0.8068711757659912
hunter,0.8067835569381714
mason,0.8061540126800537
pink,0.8060140013694763
with,0.8058778047561646
made,0.8053024411201477
dean,0.8048858046531677
bass,0.804774820804596
horse,0.8047026991844177
playing,0.8046261072158813
dave,0.8044130206108093
bird,0.8040722608566284
hair,0.803799033164978
tony,0.8034815192222595
lewis,0.8034123182296753
amber,0.8034051060676575
billy,0.803350567817688
pearl,0.8029776215553284
blake,0.8029211759567261
montana,0.8025863170623779
danny,0.8022925853729248
woods,0.8019558191299438
classic,0.8018378019332886
orange,0.801546573638916
hudson,0.8014990091323853
juicy,0.8013828992843628
his,0.8009947538375854
kenny,0.8009247779846191
olivia,0.800919771194458
jessie,0.8008130192756653
magic,0.8006577491760254
cat,0.800535261631012
amy,0.8003662824630737
jessica,0.800127387046814
bryan,0.7999813556671143
lana,0.7996981143951416
steve,0.7995487451553345
fox,0.7990778088569641
